
                  X             Displacement          Force      

                0.                -0.                 0.         
                1.E-03           100.E-15             1.08566E-09
                2.E-03           200.E-15           679.41E-12   
                3.5E-03          350.E-15            67.6342E-12 
                5.75E-03         575.E-15             5.33598E-12
                9.125E-03        912.5E-15          524.07E-15   
               14.1875E-03         1.41875E-12       52.3466E-15 
               21.7812E-03         2.17813E-12        5.23341E-15
               33.1719E-03         3.31719E-12      523.388E-18  
               50.2578E-03         5.02578E-12       52.3371E-18 
               75.8867E-03         7.58867E-12        5.23344E-18
              114.33E-03          11.433E-12        523.285E-21  
              171.995E-03         17.1995E-12        52.3247E-21 
              258.493E-03         25.8493E-12         5.23194E-21
              388.239E-03         38.8239E-12       523.123E-24  
              582.859E-03         58.2859E-12        52.302E-24  
              874.788E-03         87.4788E-12         5.22867E-24
                1.31268          131.268E-12        522.639E-27  
                1.96952          196.952E-12         52.2296E-27 
                2.86952          286.952E-12          5.21827E-27
                3.76952          376.952E-12        521.357E-30  
                4.66952          466.952E-12         52.0888E-30 
                5.56952          556.952E-12          5.20418E-30
                6.46952          646.952E-12        519.949E-33  
                7.36952          736.952E-12         51.948E-33  
                8.26952          826.952E-12          5.19011E-33
                9.16952          916.952E-12        518.541E-36  
               10.0695             1.00695E-09      487.811E-09  
               10.9695             1.09695E-09        1.30416E-06
               11.8695             1.18695E-09        2.11992E-06
               12.7695             1.27695E-09        2.93133E-06
               13.6695             1.36695E-09        3.58537E-06
               14.5695             1.45695E-09        4.02108E-06
               15.4695             1.54695E-09        4.33182E-06
               16.3695             1.63695E-09        4.61174E-06
               17.2695             1.72695E-09        4.86518E-06
               18.1695             1.81695E-09        5.08389E-06
               19.0695             1.90695E-09        5.27441E-06
               19.9695             1.99695E-09        5.44614E-06
               20.8695             2.08695E-09        5.60466E-06
               21.7695             2.17695E-09        5.7519E-06 
               22.6695             2.26695E-09        5.89034E-06
               23.5695             2.35695E-09        6.02204E-06
               24.4695             2.44695E-09        6.14924E-06
               25.3695             2.53695E-09        6.27243E-06
               26.2695             2.62695E-09        6.39194E-06
               27.1695             2.71695E-09        6.50765E-06
               28.0695             2.80695E-09        6.61994E-06
               28.9695             2.89695E-09        6.72872E-06
               29.8695             2.98695E-09        6.83414E-06
               30.7695             3.07695E-09        6.93635E-06
